Pepe Reina 25,"95'24""",,,1,1,-,4,-,-,9,2,10,1,-,-,-,10,15,16,16,2,2,28,33,85%
Elseid Hysaj 2,"95'24""",,1,,6,5,6,-,1,-,-,17,1,-,-,-,1,1,25,25,11,14,37,40,92%
Allan 5,"95'24""",,1,5,,7,10,-,2,3,1,4,2,1,-,-,2,4,17,18,17,18,36,40,90%
José Callejón 7,"95'24""",,-,11,6,,7,-,1,-,-,5,-,-,-,-,1,1,15,15,14,14,30,30,100
Jorginho 8,"95'24""",,4,12,9,7,,3,17,19,8,27,1,5,-,-,7,8,58,64,47,48,112,120,93%
Dries Mertens 14,"74'20""",,1,-,-,-,1,,4,-,3,-,3,-,-,-,1,3,8,9,3,4,12,16,75%
Marek Hamšík 17,"63'26""",,-,2,2,1,15,1,,6,4,7,2,-,-,-,2,2,24,26,14,19,40,47,85%
alidou Koulibaly 26,"95'24""",,3,1,3,1,29,4,9,,13,10,1,4,-,1,7,10,47,49,25,26,79,85,93%
aouzi Ghoulam 31,"95'24""",,2,-,-,-,2,10,7,4,,1,4,1,-,5,1,2,31,36,4,6,36,44,82%
Raúl Albiol 33,"95'24""",,4,7,4,7,31,1,5,25,4,,-,-,-,-,5,5,67,69,16,16,88,90,98%
Arkadiusz Milik 99,"83'37""",,-,-,-,-,1,2,3,1,-,2,,-,-,-,0,0,5,5,4,5,9,10,90%
Piotr Zieli?ski 20,"31'58""",,-,1,2,1,3,1,-,2,3,-,-,,-,2,1,1,8,9,6,6,15,16,94%
nolo Gabbiadini 23,"11'47""",,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0%
Lorenzo Insigne 24,"21'04""",,-,-,-,-,2,-,-,1,1,-,-,3,-,,0,0,2,3,5,6,7,9,78%
Total passes received:,,,16,40,33,29,111,22,49,70,39,83,15,14,0,8,38,52,323,344,168,184,529,580,91%
