ndré ter Stegen 1,"94'58""",,,8,-,1,1,-,-,2,-,5,1,1,3,12,15,15,1,1,19,28,68%
Gerard Piqué 3,"94'58""",,9,,7,5,1,5,3,10,11,22,3,4,5,8,66,69,9,9,80,86,93%
Ivan Rakiti? 4,"94'58""",,-,5,,1,2,8,1,8,11,-,-,-,2,3,22,23,12,15,36,41,88%
Andrés Iniesta 8,"94'58""",,-,2,2,,3,3,12,8,5,3,7,7,2,4,36,37,14,14,52,55,95%
Luis Suárez 9,"94'58""",,-,1,5,2,,-,4,2,1,-,1,-,0,0,10,14,6,7,16,21,76%
Lionel Messi 10,"94'58""",,-,4,2,8,3,,6,2,5,3,1,1,5,6,22,26,8,10,35,42,83%
Neymar 11,"94'58""",,-,2,3,10,5,8,,1,4,6,5,4,4,4,34,36,10,11,48,51,94%
ier Mascherano 14,"94'58""",,3,17,5,5,1,9,2,,14,9,3,4,4,4,62,62,6,7,72,73,99%
Sergi Roberto 20,"94'58""",,1,8,17,4,2,10,1,12,,1,2,4,2,3,43,46,17,17,62,66,94%
Samuel Umtiti 23,"94'58""",,5,20,1,8,4,1,17,2,2,,9,3,7,11,59,59,6,7,72,77,94%
Jérémy Mathieu 24,"45'17""",,1,3,-,7,-,1,16,3,-,6,,-,4,4,25,27,8,8,37,39,95%
André Gomes 21,"49'41""",,-,4,1,4,-,4,4,2,4,8,-,,1,1,23,26,7,8,31,35,89%
Total passes received:,,,19,74,43,55,22,49,66,52,57,63,32,28,39,60,417,440,104,114,560,614,91%
