Sergio Rico 1,"94'03""",,,-,-,-,2,-,2,6,1,4,2,-,-,5,7,9,9,3,3,17,19,89%
ariano Ferreira 3,"94'03""",,-,,1,14,9,2,-,16,11,6,-,-,-,1,2,43,46,15,21,59,69,86%
Luciano Vietto 9,"65'51""",,-,1,,3,-,3,1,-,1,-,-,-,-,0,0,5,6,4,5,9,11,82%
Samir Nasri 10,"94'03""",,1,16,4,,26,27,20,12,13,12,16,2,-,7,11,90,95,52,55,149,161,93%
Steven N'Zonzi 15,"94'03""",,-,10,-,44,,17,17,9,7,5,10,2,-,8,8,82,86,31,33,121,127,95%
ergio Escudero 18,"94'03""",,2,1,2,17,9,,16,-,3,3,15,-,-,1,2,38,47,29,29,68,78,87%
Vitolo 20,"94'03""",,-,3,2,21,8,13,,5,4,2,7,1,1,4,4,28,29,35,36,67,69,97%
Nicolás Pareja 21,"94'03""",,5,15,-,8,11,1,3,,6,26,2,-,-,6,12,59,61,12,13,77,86,90%
ranco Vázquez 22,"89'18""",,-,5,2,6,5,2,5,4,,2,1,-,-,3,4,21,27,8,16,32,47,68%
Adil Rami 23,"94'03""",,6,5,1,24,13,8,6,14,1,,9,1,-,13,15,63,63,12,12,88,90,98%
abriel Mercado 24,"94'03""",,-,-,2,20,15,6,9,2,2,16,,-,-,1,2,40,43,31,31,72,76,95%
Vicente Iborra 8,"4'45""",,-,-,-,3,1,1,1,-,-,1,-,,2,0,0,5,6,4,4,9,10,90%
am Ben Yedder 12,"28'12""",,-,-,-,-,-,-,-,-,-,-,-,3,,0,0,1,1,2,2,3,3,100
Total passes received:,,,14,56,14,160,99,80,80,68,49,77,62,9,3,49,67,484,519,238,260,771,846,91%
