Jan Oblak 13,"95'19""",,,3,-,1,-,1,-,-,1,1,1,-,5,10,3,3,0,0,8,13,62%
Filipe Luís 3,"95'19""",,-,,9,5,3,5,4,-,1,-,-,-,4,6,12,15,11,16,27,37,73%
Koke 6,"95'19""",,-,8,,2,3,1,1,-,3,-,1,-,1,3,8,10,10,12,19,25,76%
Antoine Griezmann 7,"95'19""",,-,3,2,,6,-,-,-,-,1,-,1,1,1,8,10,4,5,13,16,81%
Fernando Torres 9,"95'19""",,-,1,1,-,,-,2,-,2,-,-,-,0,0,2,4,4,5,6,9,67%
Augusto Fernández 12,"95'19""",,-,6,7,1,1,,4,2,2,1,2,-,0,0,16,19,10,10,26,29,90%
Gabi 14,"95'19""",,-,4,3,2,-,4,,1,2,1,2,-,1,3,12,15,6,7,19,25,76%
Stefan Savi? 15,"95'19""",,1,2,1,-,1,-,-,,-,-,1,-,1,3,4,4,1,2,6,9,67%
Saúl Ñíguez 17,"85'37""",,-,-,-,2,-,3,1,-,,3,1,-,0,0,5,5,5,9,10,14,71%
Juanfran 20,"95'19""",,1,-,-,-,1,1,-,-,3,,2,-,2,2,2,2,4,5,8,9,89%
José María Giménez 24,"95'19""",,1,-,-,1,-,-,1,2,1,-,,-,1,9,5,11,0,1,6,21,29%
Thomas Partey 22,"9'42""",,-,-,-,-,-,-,1,-,-,1,-,,0,0,2,2,0,0,2,2,100%
Total passes received:,,,3,27,23,14,15,15,14,5,15,8,10,1,16,37,79,100,55,72,150,209,72%
