Vito Mannone 24,"96'21""",,,6,2,-,4,-,-,1,2,1,1,1,-,8,22,10,10,0,1,18,33,55%
Bacary Sagna 3,"96'21""",,1,,8,1,2,7,2,3,3,7,3,-,-,5,9,29,42,3,6,37,57,65%
Per Mertesacker 4,"96'21""",,4,7,,-,8,5,-,-,2,1,1,-,-,3,7,25,32,0,4,28,43,65%
omas Vermaelen 5,"96'21""",,1,3,2,,5,1,9,3,4,-,5,-,-,4,10,19,25,10,16,33,51,65%
aurent Koscielny 6,"96'21""",,3,-,5,9,,5,6,5,2,2,3,-,-,2,3,32,42,6,8,40,53,75%
Mikel Arteta 8,"96'21""",,-,8,2,3,3,,2,5,3,3,6,-,-,4,6,28,35,3,5,35,46,76%
Lukas Podolski 9,"92'27""",,-,1,1,5,-,1,,3,4,1,6,-,-,3,3,13,23,6,13,22,39,56%
Jack Wilshere 10,"96'21""",,-,3,4,-,4,4,3,,2,4,4,-,-,1,1,21,31,6,9,28,41,68%
Olivier Giroud 12,"96'21""",,1,1,-,1,-,1,1,2,,2,3,1,1,0,2,10,17,4,9,14,28,50%
Theo Walcott 14,"96'21""",,-,5,1,-,1,2,1,2,-,,4,-,-,1,5,11,18,4,9,16,32,50%
Santi Cazorla 19,"92'13""",,-,6,3,3,5,4,3,6,2,3,,-,-,4,8,22,31,9,10,35,49,71%
André Santos 11,"3'54""",,-,-,-,1,-,-,-,-,-,-,-,,1,0,0,1,1,1,2,2,3,67%
Francis Coquelin 22,"4'08""",,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,2,0,2,0%
Total passes received:,,,10,40,28,23,32,30,27,30,24,24,36,2,2,35,76,221,307,52,94,308,477,65%
