Thibaut Courtois 13,"93'24""",,,1,1,1,-,1,1,1,-,2,-,-,4,17,2,3,2,2,8,22,36%
Koke 6,"93'24""",,-,,10,5,4,1,4,2,-,9,2,4,1,3,17,25,23,27,41,55,75%
Adrián López 7,"93'24""",,-,7,,2,2,1,2,4,4,5,-,3,1,1,15,23,14,20,30,44,68%
Raúl García 8,"93'24""",,-,4,4,,2,-,9,-,3,1,-,-,2,2,13,22,8,16,23,40,58%
ristian Rodríguez 11,"79'14""",,-,5,2,5,,-,2,2,2,3,1,-,0,2,10,18,12,21,22,41,54%
oby Alderweireld 12,"93'24""",,-,-,-,5,1,,2,1,-,2,-,-,3,5,6,16,2,7,11,28,39%
Gabi 14,"93'24""",,-,8,5,8,7,1,,6,8,3,3,-,5,8,17,22,27,38,49,68,72%
osuha Guilavogui 15,"93'24""",,-,7,2,1,1,1,7,,4,6,2,2,0,0,21,27,12,16,33,43,77%
Juanfran 20,"93'24""",,-,2,5,7,5,-,8,1,,-,1,1,1,2,16,28,13,23,30,53,57%
Emiliano Insua 22,"93'24""",,-,9,8,5,5,5,6,2,-,,-,4,0,4,23,33,21,27,44,64,69%
Miranda 23,"93'24""",,-,1,5,4,3,-,5,2,1,1,,-,6,9,8,15,8,9,22,33,67%
"Óliver Torres 16","14'10""",,-,2,2,1,-,-,1,1,-,1,-,,0,1,3,6,5,8,8,15,53%
Total passes received:,,,0,46,44,44,30,10,47,22,22,33,9,14,23,54,151,238,147,214,321,506,63%
